All,Wszystko,module,Magento_AdminGws
None,Brak,module,Magento_AdminGws
"Allowed Scopes","Dopuszczalne zakresy",module,Magento_AdminGws
"You need more permissions to delete this item(s): %1.","Potrzebujesz więcej uprawnień, aby usunąć te pozycje: %1.",module,Magento_AdminGws
"There are rules that have been changed but were not applied. Only users with exclusive access can apply rules.","Są reguły, które zostały zmienione, ale nie zastosowane. Tylko użytkownicy z odpowiednimi uprawnieniami mogę je zastosować.",module,Magento_AdminGws
"Please assign this entity to a store view.","Przypisz obiekt do widoku sklepu.",module,Magento_AdminGws
"You can create an order in an active store only.","Zamówienia można tworzyć tylko w aktywnym sklepie.",module,Magento_AdminGws
"Please assign this item to a store view.","Należy przypisać tę pozycję do widoku sklepu.",module,Magento_AdminGws
"You need more permissions to save this item.","Potrzebujesz więcej uprawnień do zapisania tego elementu.",module,Magento_AdminGws
"You need more permissions to delete this item.","Potrzebujesz więcej uprawnień do usunięcia tego elementu.",module,Magento_AdminGws
"You need more permissions to view this item.","Potrzebujesz więcej uprawnień do wyświetlenia tego elementu.",module,Magento_AdminGws
"Please specify at least one website or one store group.","Podaj co najmniej jedną stronę lub grupę sklepów.",module,Magento_AdminGws
"You need more permissions to set All Scopes to a Role.","Potrzebujesz więcej uprawnień ustawić wszystkie zakresy do roli.",module,Magento_AdminGws
"Incorrect website ID: %1","Nieprawidłowe ID witryny: %1",module,Magento_AdminGws
"You need more permissions to access website ""%1"".","Potrzebujesz więcej uprawnień do dostępu do witryny ""%1"".",module,Magento_AdminGws
"Incorrect store ID: %1","Niepoprawne ID sklepu: %1",module,Magento_AdminGws
"You need more permissions to save this setting.","Potrzebujesz więcej uprawnień, aby zapisać to ustawienie.",module,Magento_AdminGws
"Role Scopes","Zakresy ról",module,Magento_AdminGws
Custom,Niestandardowe,module,Magento_AdminGws
"Read Details","Przeczytaj szczegóły",module,Magento_AdminNotification
"Mark as Read","Oznacz jako przeczytane",module,Magento_AdminNotification
"Are you sure?","Czy na pewno tego chcesz?",module,Magento_AdminNotification
Remove,Usuń,module,Magento_AdminNotification
"Messages Inbox","Skrzynka odbiorcza",module,Magento_AdminNotification
"You have %1 new system messages","Masz nowe wiadomości systemowe: %1",module,Magento_AdminNotification
"You have %1 new system message","Masz %1 nową wiadomość systemową",module,Magento_AdminNotification
"Incoming Message","Nowa wiadomość",module,Magento_AdminNotification
close,zamknij,module,Magento_AdminNotification
"Read details","Przeczytaj szczegóły",module,Magento_AdminNotification
Notifications,Powiadomienia,module,Magento_AdminNotification
"The message has been marked as Read.","Wiadomość została oznaczona jako przeczytana.",module,Magento_AdminNotification
"We couldn't mark the notification as Read because of an error.","Nie udało się oznaczyć powiadomienia jako przeczytane z powodu błędu.",module,Magento_AdminNotification
"Please select messages.","Wybierz wiadomości.",module,Magento_AdminNotification
"A total of %1 record(s) have been marked as Read.","W sumie %1 rekord(y) zostały oznaczone jako przeczytane.",module,Magento_AdminNotification
"The message has been removed.","Wiadomość została usunięta.",module,Magento_AdminNotification
"We couldn't remove the messages because of an error.","Nie udało się usunąć wiadomości z powodu błędu.",module,Magento_AdminNotification
"Total of %1 record(s) have been removed.","W sumie %1 rekord(y) zostały usunięte.",module,Magento_AdminNotification
"1 Hour","1 godz.",module,Magento_AdminNotification
"2 Hours","2 godz.",module,Magento_AdminNotification
"6 Hours","6 godz.",module,Magento_AdminNotification
"12 Hours","12 godz.",module,Magento_AdminNotification
"24 Hours","24 godz.",module,Magento_AdminNotification
critical,krytyczny,module,Magento_AdminNotification
major,ważne,module,Magento_AdminNotification
minor,drobne,module,Magento_AdminNotification
notice,informacja,module,Magento_AdminNotification
"Wrong message type","Nieprawidłowy typ wiadomości",module,Magento_AdminNotification
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. It is highly recommended to change this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} nie jest zalecany do użycia w środowisku produkcyjnym do deklarowania URL bazowego / Bezpiecznego URL bazowego. Zaleca się zmianę tych ustawień w <a href=""%1"">konfiguracji</a> Magento.",module,Magento_AdminNotification
"One or more of the Cache Types are invalidated: %1.","Istnieją nieaktualne pamięci podręczne: %1.",module,Magento_AdminNotification
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Przejdź do <a href=""%1"">strony zarządzania pamięciami podręcznymi</a> i odśwież je.",module,Magento_AdminNotification
"One or more media files failed to be synchronized during the media storages synchronization process. Refer to the log file for details.","Jeden lub więcej plików nie zsynchronizował się podczas procesu synchronizacji magazynu mediów. Sprawdź logi, aby uzyskać więcej szczegółów.",module,Magento_AdminNotification
"Synchronization of media storages has been completed.","Ukończono synchronizację przechowalni multimediów.",module,Magento_AdminNotification
